,Event.Id,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Purpose.of.flight,Weather.Condition,Aircraft_Model
0,20020909X01562,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 140
1,20020909X01561,2.0,Non-Fatal,0,0,2.0,Business,IMC,CESSNA 401B
2,20020917X02148,1.0,Non-Fatal,0,0,0.0,Personal,IMC,BELLANCA 17-30A
3,20020917X02134,1.0,Fatal(1),1,0,0.0,Personal,IMC,CESSNA R172K
4,20020917X02119,1.0,Fatal(1),1,0,0.0,Personal,IMC,NAVION A
5,20020917X02117,1.0,Fatal(2),2,0,0.0,Personal,IMC,BEECH 19
6,20020917X01656,1.0,Fatal(3),3,0,0.0,Personal,VMC,CESSNA 180
7,20020917X02481,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 172
8,20020917X01894,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 152
9,20020917X01776,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 150L
10,20020917X02333,1.0,Incident,0,0,1.0,Personal,VMC,PIPER PA-24-180
11,20020917X02255,1.0,Fatal(2),2,1,0.0,Personal,IMC,GRUMMAN AA-5B
12,20020917X01905,2.0,Fatal(8),8,0,0.0,Business,IMC,CESSNA 414A
13,20020917X01720,2.0,Fatal(1),1,0,0.0,Personal,IMC,BEECHCRAFT BE-58
14,20020917X02483,1.0,Non-Fatal,0,0,2.0,Personal,VMC,MAULE M-5-235C
15,20020917X02340,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 210L
16,20020917X02155,1.0,Non-Fatal,0,0,0.0,Personal,VMC,BELLANCA 7GCBC
17,20020917X01992,1.0,Non-Fatal,0,0,0.0,Personal,VMC,CESSNA 182
18,20020917X01960,1.0,Non-Fatal,0,0,1.0,Ferry,VMC,AIR TRACTOR AT-301
19,20020917X02618,1.0,Fatal(4),4,0,0.0,Personal,VMC,PIPER PA-28-161
20,20020917X02254,2.0,Fatal(2),2,0,0.0,Unknown,VMC,PIPER PA-34-200T
21,20020917X01880,2.0,Fatal(2),2,2,0.0,Personal,IMC,CESSNA T337G
22,20020917X01991,1.0,Non-Fatal,0,0,0.0,Personal,VMC,PIPER PA-28R-200
23,20020917X02410,1.0,Fatal(1),1,0,0.0,Business,VMC,CESSNA 206
24,20020917X02304,1.0,Fatal(3),3,0,0.0,Business,IMC,NAVION A
25,20020917X02253,1.0,Fatal(1),1,0,0.0,Personal,IMC,PIPER PA-22
26,20020917X01906,2.0,Fatal(2),2,0,0.0,Unknown,VMC,PIPER PA-31
27,20020917X01764,1.0,Incident,0,0,1.0,Business,VMC,ROCKWELL 114
28,20020917X01993,1.0,Non-Fatal,0,1,1.0,Business,VMC,PIPER PA-24-250
29,20020917X01658,1.0,Non-Fatal,0,0,1.0,Ferry,VMC,PIPER PA-28R-200
30,20020917X02156,1.0,Non-Fatal,0,0,1.0,Unknown,VMC,CESSNA TR182
31,20020917X01651,1.0,Non-Fatal,0,2,0.0,Unknown,VMC,CESSNA A185F
32,20020917X02423,2.0,Non-Fatal,0,0,3.0,Executive/corporate,VMC,CESSNA 340
33,20020917X01913,1.0,Non-Fatal,0,0,3.0,Personal,VMC,BEECH 35
34,20020917X01777,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,CESSNA 152
35,20020917X01757,1.0,Non-Fatal,0,0,2.0,Business,VMC,MOONEY M-20J
36,20020917X02242,1.0,Non-Fatal,0,1,1.0,Unknown,IMC,BOEING A75
37,20020917X01964,1.0,Fatal(2),2,0,0.0,Unknown,VMC,CESSNA 210
38,20020917X01659,1.0,Non-Fatal,0,0,1.0,Personal,VMC,BEECH V35
39,20020917X02141,2.0,Non-Fatal,0,0,3.0,Unknown,VMC,CURTIS C46
40,20020917X02414,1.0,Fatal(1),1,0,0.0,Personal,IMC,CESSNA 172M
41,20020917X01881,1.0,Fatal(1),1,1,0.0,Personal,VMC,PIPER PA-28-140
42,20020917X02574,1.0,Non-Fatal,0,0,1.0,Business,VMC,CESSNA TU206G
43,20020917X02484,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 152
44,20020917X02431,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,PIPER PA-24-250
45,20020917X01779,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 152
46,20020917X01778,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 172N
47,20020917X01717,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 152
48,20020917X02246,1.0,Non-Fatal,0,1,3.0,Personal,VMC,CESSNA P210N
49,20020917X01995,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 172
50,20020917X01994,2.0,Non-Fatal,0,0,3.0,Personal,VMC,PIPER PA-34
51,20020917X02283,1.0,Non-Fatal,0,0,2.0,Unknown,VMC,CESSNA 305 (L-19)
52,20020917X01981,1.0,Non-Fatal,0,0,1.0,Unknown,VMC,CESSNA 182A
53,20020917X02341,2.0,Non-Fatal,0,2,0.0,Unknown,UNK,PIPER PA-23-250
54,20020917X02158,1.0,Non-Fatal,0,0,4.0,Personal,VMC,CESSNA 172N
55,20020917X01882,2.0,Non-Fatal,0,0,2.0,Personal,IMC,PIPER 23-250
56,20020917X01719,1.0,Fatal(1),1,1,0.0,Personal,VMC,MOONEY M20G
57,20020917X02305,1.0,Non-Fatal,0,0,0.0,Personal,VMC,CESSNA TU206F
58,20020917X02289,1.0,Non-Fatal,0,0,1.0,Personal,VMC,QUICKIE 1
59,20020917X01623,1.0,Non-Fatal,0,0,0.0,Unknown,VMC,CESSNA U206
60,20020917X01985,1.0,Non-Fatal,0,1,0.0,Personal,VMC,PIPER PA-28-140
61,20020917X01965,1.0,Fatal(4),4,1,0.0,Personal,IMC,CESSNA 210N
62,20020917X01982,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 180
63,20020917X01715,2.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 310L
64,20020917X01897,3.0,Incident,0,0,149.0,Unknown,UNK,LOCKHEED L-1011
65,20020917X01765,2.0,Incident,0,0,2.0,Unknown,VMC,EMBRAER EMB-110P1
66,20020917X01750,2.0,Non-Fatal,0,0,0.0,Personal,UNK,CESSNA 414
67,20020917X02111,1.0,Non-Fatal,0,1,1.0,Personal,IMC,BEECH P35
68,20020917X02342,1.0,Non-Fatal,0,0,1.0,Personal,VMC,GRUMMAN AA5B
69,20020917X02120,1.0,Non-Fatal,0,0,3.0,Personal,VMC,PIPER PA-28R-201T
70,20020917X01996,1.0,Non-Fatal,0,0,4.0,Personal,VMC,BEECH A23-24
71,20020917X02575,2.0,Non-Fatal,0,0,2.0,Unknown,IMC,PIPER PA-31-350
72,20020917X01966,1.0,Fatal(3),3,0,0.0,Personal,VMC,CESSNA T210N
73,20020917X02395,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 172
74,20020917X02576,1.0,Non-Fatal,0,0,1.0,Unknown,VMC,CESSNA 140
75,20020917X02538,2.0,Non-Fatal,0,1,12.0,Unknown,VMC,SWEARINGEN SA 226-TC
76,20020917X01780,2.0,Non-Fatal,0,0,2.0,Unknown,VMC,BEECH C-45H
77,20020917X01625,1.0,Non-Fatal,0,0,4.0,Unknown,VMC,DE HAVILLAND DHC-2-MK3
78,20020917X02487,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 150M
79,20020917X02321,1.0,Fatal(1),1,0,0.0,Personal,IMC,CESSNA 150M
80,20020917X02306,1.0,Fatal(1),1,0,0.0,Personal,VMC,BEDE AIRCRAFT BD-5B
81,20020917X02294,1.0,Non-Fatal,0,0,0.0,Unknown,VMC,CESSNA 182P
82,20020917X02159,2.0,Non-Fatal,0,0,1.0,Unknown,VMC,CONVAIR 440
83,20020917X02142,2.0,Fatal(1),1,0,0.0,Unknown,VMC,PIPER PA-31
84,20020917X01967,2.0,Non-Fatal,0,0,0.0,Personal,VMC,PIPER PA-31T
85,20020917X01721,2.0,Fatal(2),2,0,0.0,Unknown,VMC,BEECH F50
86,20020917X01624,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 150
87,20020917X01914,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 180E
88,20020917X01645,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 170B
89,20020917X02624,1.0,Non-Fatal,0,2,0.0,Business,VMC,BEECH C23
90,20020917X02257,1.0,Fatal(1),1,0,0.0,Personal,IMC,CESSNA 172M
91,20020917X01723,1.0,Fatal(3),3,0,0.0,Personal,IMC,PIPER PA-28-180
92,20020917X01999,1.0,Non-Fatal,0,0,1.0,Business,VMC,CESSNA 180K
93,20020917X01722,1.0,Fatal(4),4,0,0.0,Personal,IMC,CESSNA 210L
94,20020917X02476,1.0,Fatal(1),1,0,0.0,Business,VMC,MOONEY M20F
95,20020917X02121,1.0,Fatal(2),2,0,0.0,Personal,IMC,BEECH G35
96,20020917X01978,1.0,Fatal(1),1,2,0.0,Business,UNK,CESSNA 177B
97,20020917X01908,1.0,Fatal(3),3,0,0.0,Personal,IMC,GRUMMAN AA5A
98,20020917X01908,2.0,Fatal(3),3,0,0.0,Executive/corporate,IMC,SWEARINGEN SA226-T(B)
99,20020917X01766,2.0,Incident,0,0,1.0,Ferry,IMC,DE HAVILLAND DHC-6-300
100,20020917X02490,2.0,Non-Fatal,0,0,2.0,Executive/corporate,VMC,PIPER AEROSTAR 601P
101,20020917X02488,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 152
102,20020917X02425,1.0,Non-Fatal,0,0,1.0,Aerial Observation,VMC,CESSNA 182P
103,20020917X02424,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 177RG
